country,indicator,date,value
ABW,owid-stringency_index,2020-03-13,0.0
ABW,owid-stringency_index,2020-03-20,33.33
ABW,owid-stringency_index,2020-03-24,44.44
ABW,owid-stringency_index,2020-03-25,44.44
ABW,owid-stringency_index,2020-03-26,44.44
ABW,owid-stringency_index,2020-03-27,44.44
ABW,owid-stringency_index,2020-03-28,44.44
ABW,owid-stringency_index,2020-03-29,85.19
ABW,owid-stringency_index,2020-03-30,85.19
ABW,owid-stringency_index,2020-04-01,85.19
ABW,owid-stringency_index,2020-04-02,85.19
ABW,owid-stringency_index,2020-04-03,85.19
ABW,owid-stringency_index,2020-04-04,85.19
ABW,owid-stringency_index,2020-04-05,85.19
ABW,owid-stringency_index,2020-04-06,85.19
ABW,owid-stringency_index,2020-04-07,85.19
ABW,owid-stringency_index,2020-04-08,85.19
ABW,owid-stringency_index,2020-04-09,85.19
ABW,owid-stringency_index,2020-04-10,88.89
ABW,owid-stringency_index,2020-04-11,85.19
ABW,owid-stringency_index,2020-04-12,88.89
ABW,owid-stringency_index,2020-04-13,88.89
ABW,owid-stringency_index,2020-04-14,85.19
ABW,owid-stringency_index,2020-04-15,85.19
ABW,owid-stringency_index,2020-04-16,85.19
ABW,owid-stringency_index,2020-04-17,85.19
ABW,owid-stringency_index,2020-04-18,85.19
ABW,owid-stringency_index,2020-04-19,85.19
ABW,owid-stringency_index,2020-04-20,85.19
ABW,owid-stringency_index,2020-04-21,85.19
ABW,owid-stringency_index,2020-04-22,85.19
ABW,owid-stringency_index,2020-04-23,85.19
ABW,owid-stringency_index,2020-04-24,85.19
ABW,owid-stringency_index,2020-04-25,85.19
ABW,owid-stringency_index,2020-04-26,85.19
ABW,owid-stringency_index,2020-04-27,85.19
ABW,owid-stringency_index,2020-04-28,85.19
ABW,owid-stringency_index,2020-04-29,85.19
ABW,owid-stringency_index,2020-04-30,85.19
ABW,owid-stringency_index,2020-05-01,85.19
ABW,owid-stringency_index,2020-05-02,85.19
ABW,owid-stringency_index,2020-05-03,85.19
ABW,owid-stringency_index,2020-05-04,81.48
ABW,owid-stringency_index,2020-05-05,81.48
ABW,owid-stringency_index,2020-05-06,81.48
ABW,owid-stringency_index,2020-05-07,81.48
ABW,owid-stringency_index,2020-05-08,81.48
ABW,owid-stringency_index,2020-05-09,81.48
ABW,owid-stringency_index,2020-05-10,81.48
ABW,owid-stringency_index,2020-05-11,81.48
ABW,owid-stringency_index,2020-05-12,81.48
ABW,owid-stringency_index,2020-05-13,81.48
ABW,owid-stringency_index,2020-05-14,81.48
ABW,owid-stringency_index,2020-05-15,81.48
ABW,owid-stringency_index,2020-05-16,81.48
ABW,owid-stringency_index,2020-05-17,81.48
ABW,owid-stringency_index,2020-05-18,48.15
ABW,owid-stringency_index,2020-05-19,48.15
ABW,owid-stringency_index,2020-05-20,48.15
ABW,owid-stringency_index,2020-05-21,48.15
ABW,owid-stringency_index,2020-05-22,48.15
ABW,owid-stringency_index,2020-05-23,48.15
